Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,event_text
3.5258,0.71455,4.1612,1.5571,12.283,1.756,-0.76166,-10.463,6.3301,0.92747,Kaggle Complete EEG Dataset s02
2.5774,1.416,5.0625,4.6606,12.397,0.96251,0.49798,-9.2893,7.255,1.5205,Kaggle Complete EEG Dataset s02
0.95841,1.8989,5.8947,7.9046,12.818,-0.19493,1.9716,-7.5553,8.4885,2.5392,Kaggle Complete EEG Dataset s02
-0.97584,2.0458,6.5517,10.842,13.657,-1.4659,3.5708,-5.1478,9.9458,4.0964,Kaggle Complete EEG Dataset s02
-2.5841,1.8457,6.9968,13.297,14.914,-2.5344,5.2541,-1.9852,11.483,6.2289,Kaggle Complete EEG Dataset s02
-3.1772,1.3224,7.231,15.405,16.425,-3.1254,7.0073,1.8741,12.903,8.8251,Kaggle Complete EEG Dataset s02
-2.3116,0.49237,7.25,17.484,17.877,-3.095,8.7962,6.1928,13.979,11.59,Kaggle Complete EEG Dataset s02
-0.011388,-0.65529,7.0269,19.762,18.897,-2.4536,10.522,10.554,14.504,14.119,Kaggle Complete EEG Dataset s02
3.2426,-2.1463,6.5059,22.144,19.183,-1.3173,12.033,14.488,14.346,16.02,Kaggle Complete EEG Dataset s02
6.7171,-3.922,5.6191,24.123,18.614,0.155,13.149,17.629,13.48,17.065,Kaggle Complete EEG Dataset s02
9.7627,-5.7729,4.3196,24.946,17.275,1.7958,13.749,19.857,11.998,17.287,Kaggle Complete EEG Dataset s02
12.035,-7.3411,2.6006,23.935,15.401,3.4003,13.805,21.33,10.069,16.925,Kaggle Complete EEG Dataset s02
13.5,-8.2317,0.5091,20.783,13.251,4.6981,13.377,22.366,7.8999,16.307,Kaggle Complete EEG Dataset s02
14.234,-8.2519,-1.8557,15.738,11.01,5.3547,12.558,23.244,5.6649,15.636,Kaggle Complete EEG Dataset s02
14.16,-7.5945,-4.3522,9.5188,8.7447,5.0738,11.397,24.024,3.4778,14.877,Kaggle Complete EEG Dataset s02
