Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,event_text
1.1724,-12.467,1.4085,-5.7968,1.6037,4.269,9.8047,9.1452,4.0761,5.6228,Kaggle Complete EEG Dataset s04
1.7528,-10.023,2.4788,-3.3577,0.17826,4.132,10.64,10.728,3.3327,5.5052,Kaggle Complete EEG Dataset s04
2.4494,-7.0427,3.4395,-0.45503,-2.0549,3.3859,11.182,12.197,1.9879,4.6902,Kaggle Complete EEG Dataset s04
3.0775,-3.9273,3.9635,2.4847,-5.1116,1.8725,11.197,13.226,0.010816,3.0303,Kaggle Complete EEG Dataset s04
3.3526,-1.2139,3.7856,4.9413,-8.8846,-0.34657,10.548,13.587,-2.5184,0.57128,Kaggle Complete EEG Dataset s04
3.0078,0.60068,2.8059,6.4569,-13.113,-2.9589,9.2546,13.226,-5.3901,-2.434,Kaggle Complete EEG Dataset s04
1.9316,1.2023,1.1528,6.7901,-17.427,-5.4779,7.4787,12.259,-8.3093,-5.5904,Kaggle Complete EEG Dataset s04
0.24942,0.57689,-0.86858,5.9816,-21.383,-7.4071,5.4712,10.868,-10.97,-8.4903,Kaggle Complete EEG Dataset s04
-1.6824,-0.97842,-2.8868,4.3705,-24.585,-8.4104,3.4855,9.218,-13.131,-10.844,Kaggle Complete EEG Dataset s04
-3.3959,-2.9309,-4.5811,2.4905,-26.778,-8.4239,1.7096,7.3992,-14.663,-12.539,Kaggle Complete EEG Dataset s04
-4.457,-4.6503,-5.7721,0.94178,-27.887,-7.6273,0.24261,5.4313,-15.556,-13.631,Kaggle Complete EEG Dataset s04
-4.6126,-5.5635,-6.4009,0.25019,-28.029,-6.3487,-0.91073,3.3234,-15.866,-14.274,Kaggle Complete EEG Dataset s04
-3.8591,-5.3019,-6.4851,0.72554,-27.431,-4.9161,-1.8107,1.1318,-15.664,-14.622,Kaggle Complete EEG Dataset s04
-2.4265,-3.7728,-6.042,2.4126,-26.328,-3.5431,-2.5201,-1.0143,-14.978,-14.764,Kaggle Complete EEG Dataset s04
-0.68862,-1.1829,-5.0575,5.0699,-24.848,-2.3005,-3.0678,-2.9222,-13.785,-14.687,Kaggle Complete EEG Dataset s04
0.95527,2.0204,-3.5204,8.2356,-22.987,-1.1612,-3.4322,-4.4263,-12.05,-14.315,Kaggle Complete EEG Dataset s04
2.1777,5.2595,-1.4926,11.339,-20.659,-0.075793,-3.5359,-5.4302,-9.8035,-13.552,Kaggle Complete EEG Dataset s04
2.7826,7.992,0.86225,13.866,-17.777,0.97586,-3.2922,-5.9358,-7.1777,-12.339,Kaggle Complete EEG Dataset s04
2.7083,9.8351,3.2664,15.467,-14.386,1.9646,-2.648,-6.0468,-4.4371,-10.705,Kaggle Complete EEG Dataset s04
2.0175,10.656,5.3862,16.044,-10.71,2.841,-1.6249,-5.8922,-1.9079,-8.7485,Kaggle Complete EEG Dataset s04
0.87633,10.582,6.9472,15.742,-7.0914,3.5927,-0.28098,-5.5521,0.14201,-6.5863,Kaggle Complete EEG Dataset s04
-0.47732,9.9444,7.8269,14.885,-3.8851,4.2634,1.2825,-5.0265,1.6089,-4.3187,Kaggle Complete EEG Dataset s04
-1.7869,9.1525,8.0857,13.852,-1.3264,4.9241,2.9595,-4.2426,2.5746,-2.0072,Kaggle Complete EEG Dataset s04
-2.8329,8.5604,7.9317,12.968,0.54254,5.642,4.6316,-3.1313,3.2616,0.29025,Kaggle Complete EEG Dataset s04
