Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,event_text
5.0357,0.87061,-0.8904,-1.9887,0.81788,3.1453,0.73461,1.5357,0.66792,0.87688,Kaggle Complete EEG Dataset s03
3.3562,-0.86626,-0.67142,-2.9575,1.4593,3.0144,1.2718,2.3107,2.2663,2.5899,Kaggle Complete EEG Dataset s03
0.92829,-3.219,-0.65203,-4.0584,2.053,2.692,1.7043,3.2886,4.1393,4.7195,Kaggle Complete EEG Dataset s03
-2.0972,-5.9758,-0.94401,-5.1402,2.4081,2.1519,1.908,4.3856,5.9685,7.0113,Kaggle Complete EEG Dataset s03
-5.3957,-8.8217,-1.5827,-6.0644,2.3657,1.4313,1.8518,5.5123,7.4032,9.1697,Kaggle Complete EEG Dataset s03
-8.5319,-11.415,-2.4985,-6.7717,1.8653,0.63628,1.6372,6.6282,8.1769,10.96,Kaggle Complete EEG Dataset s03
-11.049,-13.486,-3.5284,-7.2939,0.98539,-0.074279,1.4941,7.7508,8.2064,12.282,Kaggle Complete EEG Dataset s03
-12.586,-14.915,-4.4545,-7.7327,-0.077959,-0.52991,1.7087,8.9587,7.6289,13.201,Kaggle Complete EEG Dataset s03
-12.984,-15.733,-5.0761,-8.2019,-1.0597,-0.60352,2.5178,10.352,6.7605,13.912,Kaggle Complete EEG Dataset s03
-12.331,-16.084,-5.2609,-8.7622,-1.7074,-0.25715,4.0214,12.006,6.0041,14.657,Kaggle Complete EEG Dataset s03
-10.951,-16.159,-4.9769,-9.3784,-1.8612,0.44411,6.1281,13.94,5.7316,15.638,Kaggle Complete EEG Dataset s03
-9.3144,-16.096,-4.2743,-9.9154,-1.4795,1.3437,8.5882,16.104,6.181,16.952,Kaggle Complete EEG Dataset s03
-7.9142,-15.933,-3.249,-10.192,-0.63455,2.2441,11.081,18.392,7.4113,18.566,Kaggle Complete EEG Dataset s03
-7.1292,-15.606,-1.983,-10.037,0.52739,2.9648,13.32,20.683,9.3076,20.345,Kaggle Complete EEG Dataset s03
-7.1317,-14.982,-0.52087,-9.3636,1.8462,3.3886,15.134,22.862,11.628,22.105,Kaggle Complete EEG Dataset s03
-7.8538,-13.941,1.134,-8.1955,3.1852,3.4894,16.495,24.837,14.07,23.656,Kaggle Complete EEG Dataset s03
-9.0489,-12.43,2.9942,-6.6714,4.4542,3.3251,17.474,26.529,16.344,24.853,Kaggle Complete EEG Dataset s03
-10.389,-10.527,5.0437,-5.0024,5.6003,3.0043,18.172,27.862,18.216,25.606,Kaggle Complete EEG Dataset s03
-11.586,-8.432,7.2027,-3.4168,6.5937,2.6525,18.641,28.747,19.539,25.884,Kaggle Complete EEG Dataset s03
-12.48,-6.4281,9.3253,-2.1053,7.4153,2.3736,18.855,29.093,20.261,25.698,Kaggle Complete EEG Dataset s03
-13.066,-4.8211,11.223,-1.1882,8.0546,2.2341,18.718,28.829,20.413,25.096,Kaggle Complete EEG Dataset s03
-13.466,-3.8589,12.709,-0.70554,8.5189,2.262,18.131,27.938,20.097,24.156,Kaggle Complete EEG Dataset s03
-13.849,-3.676,13.66,-0.63206,8.8401,2.4557,17.053,26.476,19.451,22.968,Kaggle Complete EEG Dataset s03
-14.355,-4.2606,14.047,-0.90198,9.0797,2.7966,15.543,24.581,18.622,21.632,Kaggle Complete EEG Dataset s03
-15.031,-5.4538,13.94,-1.4284,9.3193,3.2585,13.758,22.445,17.73,20.238,Kaggle Complete EEG Dataset s03
-15.833,-6.9958,13.489,-2.1244,9.6278,3.8047,11.911,20.268,16.843,18.853,Kaggle Complete EEG Dataset s03
-16.662,-8.5739,12.872,-2.9031,10.041,4.3905,10.201,18.214,15.967,17.504,Kaggle Complete EEG Dataset s03
-17.406,-9.9042,12.239,-3.6839,10.54,4.9508,8.7533,16.387,15.058,16.185,Kaggle Complete EEG Dataset s03
-17.997,-10.792,11.679,-4.394,11.051,5.4157,7.6009,14.826,14.046,14.868,Kaggle Complete EEG Dataset s03
-18.435,-11.174,11.211,-4.9805,11.47,5.7133,6.7016,13.507,12.874,13.532,Kaggle Complete EEG Dataset s03
-18.761,-11.126,10.797,-5.4143,11.7,5.7962,5.9751,12.392,11.531,12.179,Kaggle Complete EEG Dataset s03
-19.039,-10.83,10.381,-5.7055,11.68,5.6536,5.3576,11.446,10.069,10.843,Kaggle Complete EEG Dataset s03
-19.31,-10.501,9.9217,-5.8948,11.405,5.3212,4.8194,10.647,8.5908,9.583,Kaggle Complete EEG Dataset s03
-19.572,-10.316,9.4005,-6.0425,10.925,4.8725,4.3659,9.9717,7.2171,8.4584,Kaggle Complete EEG Dataset s03
-19.78,-10.361,8.8234,-6.2093,10.323,4.4029,4.0026,9.401,6.0529,7.5015,Kaggle Complete EEG Dataset s03
-19.861,-10.597,8.1973,-6.4304,9.683,4.0062,3.712,8.8707,5.1438,6.6984,Kaggle Complete EEG Dataset s03
-19.753,-10.888,7.5152,-6.7088,9.0617,3.7513,3.4292,8.3189,4.4677,5.9946,Kaggle Complete EEG Dataset s03
-19.414,-11.064,6.7397,-7.0141,8.4807,3.6707,3.0571,7.6494,3.943,5.3079,Kaggle Complete EEG Dataset s03
-18.844,-10.982,5.8159,-7.2974,7.9284,3.7598,2.5046,6.7999,3.4672,4.5657,Kaggle Complete EEG Dataset s03
-18.076,-10.583,4.6936,-7.5115,7.3729,3.9845,1.7264,5.753,2.9516,3.7262,Kaggle Complete EEG Dataset s03
-17.171,-9.9138,3.3592,-7.6267,6.793,4.2929,0.75112,4.5506,2.3639,2.8024,Kaggle Complete EEG Dataset s03
-16.194,-9.0911,1.8537,-7.6366,6.1897,4.6215,-0.31327,3.3008,1.7356,1.8573,Kaggle Complete EEG Dataset s03
-15.206,-8.2708,0.27863,-7.5462,5.5907,4.9082,-1.3072,2.1497,1.155,0.98475,Kaggle Complete EEG Dataset s03
-14.258,-7.5611,-1.2234,-7.3653,5.0426,5.091,-2.07,1.2476,0.73604,0.28202,Kaggle Complete EEG Dataset s03
-13.393,-7.0102,-2.502,-7.0911,4.5942,5.1073,-2.4938,0.70789,0.58149,-0.18148,Kaggle Complete EEG Dataset s03
-12.648,-6.5917,-3.4349,-6.711,4.2814,4.8996,-2.5268,0.57669,0.75129,-0.37906,Kaggle Complete EEG Dataset s03
-12.061,-6.2284,-3.9584,-6.2079,4.1065,4.4246,-2.2043,0.81881,1.2363,-0.34275,Kaggle Complete EEG Dataset s03
-11.676,-5.8291,-4.0884,-5.5818,4.0397,3.6583,-1.622,1.3287,1.9633,-0.14624,Kaggle Complete EEG Dataset s03
-11.535,-5.3263,-3.9025,-4.8561,4.0196,2.6176,-0.89445,1.9658,2.8042,0.10474,Kaggle Complete EEG Dataset s03
-11.672,-4.696,-3.5261,-4.0916,3.9676,1.3693,-0.13165,2.5893,3.6105,0.31192,Kaggle Complete EEG Dataset s03
-12.095,-3.9743,-3.0985,-3.368,3.8118,0.031104,0.59042,3.1033,4.243,0.4027,Kaggle Complete EEG Dataset s03
-12.775,-3.2166,-2.7346,-2.7752,3.5065,-1.2412,1.2409,3.4699,4.6029,0.36212,Kaggle Complete EEG Dataset s03
-13.638,-2.5093,-2.5077,-2.383,3.0453,-2.2819,1.8243,3.7187,4.6578,0.2361,Kaggle Complete EEG Dataset s03
-14.584,-1.9488,-2.4312,-2.229,2.4707,-2.9498,2.3736,3.9284,4.4463,0.1325,Kaggle Complete EEG Dataset s03
-15.499,-1.6168,-2.4677,-2.3003,1.8621,-3.1629,2.9382,4.1976,4.0793,0.19445,Kaggle Complete EEG Dataset s03
-16.279,-1.5759,-2.5396,-2.5462,1.3246,-2.9243,3.5712,4.6344,3.7112,0.57251,Kaggle Complete EEG Dataset s03
-16.852,-1.8453,-2.5419,-2.8762,0.96524,-2.3098,4.3273,5.3202,3.5119,1.3767,Kaggle Complete EEG Dataset s03
-17.163,-2.3746,-2.364,-3.1871,0.87407,-1.4458,5.2475,6.3103,3.6258,2.6508,Kaggle Complete EEG Dataset s03
-17.171,-3.0361,-1.8998,-3.3779,1.1158,-0.47954,6.3593,7.621,4.1433,4.3499,Kaggle Complete EEG Dataset s03
-16.818,-3.6279,-1.0638,-3.3701,1.7201,0.47201,7.6603,9.217,5.0778,6.3449,Kaggle Complete EEG Dataset s03
-16.032,-3.919,0.20108,-3.1214,2.6827,1.336,9.1122,11.008,6.365,8.4456,Kaggle Complete EEG Dataset s03
