Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,event_text
13.99,10.55,13.902,14.455,15.74,10.047,13.829,17.561,18.206,11.392,Kaggle Complete EEG Dataset s01
12.877,10.276,13.523,14.254,14.825,9.9637,14.476,19.179,17.998,12.333,Kaggle Complete EEG Dataset s01
11.885,9.2391,12.585,13.69,13.201,9.73,15.004,20.582,17.111,13.404,Kaggle Complete EEG Dataset s01
11.247,7.4189,11.071,12.756,10.905,9.2593,15.364,21.685,15.476,14.353,Kaggle Complete EEG Dataset s01
11.027,5.0727,9.1093,11.574,8.1425,8.4682,15.517,22.572,13.185,14.818,Kaggle Complete EEG Dataset s01
11.051,2.6737,6.9346,10.356,5.2249,7.2947,15.379,23.423,10.471,14.41,Kaggle Complete EEG Dataset s01
10.95,0.72778,4.8006,9.3161,2.4844,5.7512,14.851,24.346,7.6211,12.862,Kaggle Complete EEG Dataset s01
10.311,-0.47483,2.8918,8.5727,0.17192,3.9522,13.839,25.234,4.8811,10.153,Kaggle Complete EEG Dataset s01
8.8783,-0.99311,1.2929,8.08,-1.6006,2.1037,12.323,25.821,2.4089,6.5844,Kaggle Complete EEG Dataset s01
6.6773,-1.1933,-0.011221,7.6586,-2.8712,0.45646,10.402,25.749,0.27688,2.7469,Kaggle Complete EEG Dataset s01
4.0123,-1.5409,-1.0732,7.0924,-3.7773,-0.78208,8.3042,24.718,-1.4998,-0.67111,Kaggle Complete EEG Dataset s01
1.3268,-2.3261,-1.942,6.2539,-4.4976,-1.5221,6.2651,22.644,-2.9279,-3.0991,Kaggle Complete EEG Dataset s01
-0.99638,-3.5069,-2.6415,5.1561,-5.1905,-1.8132,4.4828,19.683,-4.0259,-4.2846,Kaggle Complete EEG Dataset s01
-2.7561,-4.7437,-3.1988,3.9503,-5.9556,-1.824,3.0066,16.146,-4.8309,-4.3579,Kaggle Complete EEG Dataset s01
-3.9299,-5.5878,-3.6544,2.846,-6.8187,-1.759,1.7674,12.453,-5.4288,-3.7591,Kaggle Complete EEG Dataset s01
-4.6003,-5.7368,-4.0829,2.0075,-7.7591,-1.7822,0.66149,8.9405,-5.934,-3.0258,Kaggle Complete EEG Dataset s01
-4.837,-5.1751,-4.5283,1.5061,-8.715,-1.9525,-0.36543,5.8833,-6.4409,-2.5451,Kaggle Complete EEG Dataset s01
-4.6435,-4.1571,-4.9636,1.3289,-9.5781,-2.2064,-1.2097,3.4615,-6.9714,-2.431,Kaggle Complete EEG Dataset s01
-4.0012,-3.0337,-5.2634,1.4218,-10.24,-2.4216,-1.7182,1.7231,-7.4699,-2.5206,Kaggle Complete EEG Dataset s01
-2.9608,-2.0638,-5.2414,1.7568,-10.608,-2.482,-1.7676,0.63212,-7.8353,-2.5573,Kaggle Complete EEG Dataset s01
-1.7288,-1.3423,-4.7536,2.3295,-10.625,-2.3256,-1.4022,0.0086853,-7.97,-2.374,Kaggle Complete EEG Dataset s01
-0.64894,-0.82863,-3.7763,3.101,-10.292,-1.9726,-0.84927,-0.38695,-7.837,-1.9829,Kaggle Complete EEG Dataset s01
-0.074262,-0.42983,-2.4383,3.9935,-9.6572,-1.4865,-0.41974,-0.79458,-7.4715,-1.6162,Kaggle Complete EEG Dataset s01
-0.1738,-0.10241,-0.99526,4.8687,-8.8233,-0.96321,-0.3605,-1.3221,-6.968,-1.5633,Kaggle Complete EEG Dataset s01
-0.80857,0.1288,0.27671,5.5754,-7.9241,-0.49721,-0.73572,-1.9695,-6.4409,-2.0359,Kaggle Complete EEG Dataset s01
-1.5692,0.20018,1.1828,6.0184,-7.0731,-0.14114,-1.3924,-2.569,-5.9778,-3.0339,Kaggle Complete EEG Dataset s01
-1.9373,0.086904,1.6825,6.1869,-6.3596,0.10193,-2.0243,-2.9047,-5.6123,-4.2887,Kaggle Complete EEG Dataset s01
-1.5185,-0.13344,1.8739,6.1696,-5.8198,0.26139,-2.3353,-2.7968,-5.3378,-5.4416,Kaggle Complete EEG Dataset s01
-0.20572,-0.31034,1.9433,6.0962,-5.457,0.38524,-2.1922,-2.1374,-5.1357,-6.1749,Kaggle Complete EEG Dataset s01
1.7981,-0.25603,2.0873,6.1048,-5.2335,0.51838,-1.6145,-0.93845,-4.9791,-6.3745,Kaggle Complete EEG Dataset s01
4.0875,0.17846,2.4616,6.2928,-5.0873,0.69332,-0.7604,0.71604,-4.8309,-6.1423,Kaggle Complete EEG Dataset s01
6.1833,1.0428,3.1357,6.6926,-4.979,0.90542,0.18752,2.6223,-4.6473,-5.6901,Kaggle Complete EEG Dataset s01
7.6689,2.2485,4.0909,7.2588,-4.9103,1.1407,1.1404,4.5525,-4.3914,-5.2094,Kaggle Complete EEG Dataset s01
8.2736,3.5644,5.2104,7.866,-4.9412,1.3637,2.0735,6.243,-4.0697,-4.7735,Kaggle Complete EEG Dataset s01
7.9299,4.6785,6.2826,8.3285,-5.2043,1.5293,3.0116,7.4179,-3.7615,-4.3783,Kaggle Complete EEG Dataset s01
6.7205,5.2775,7.0396,8.4452,-5.849,1.5804,3.8854,7.8495,-3.6386,-4.0402,Kaggle Complete EEG Dataset s01
4.833,5.172,7.2412,8.0822,-6.9682,1.455,4.5371,7.4059,-3.9064,-3.8609,Kaggle Complete EEG Dataset s01
2.5475,4.424,6.7839,7.2718,-8.5207,1.133,4.7791,6.0871,-4.6777,-4.028,Kaggle Complete EEG Dataset s01
0.22059,3.3456,5.749,6.215,-10.305,0.63604,4.4878,4.1089,-5.9155,-4.7083,Kaggle Complete EEG Dataset s01
-1.7495,2.3944,4.3839,5.2188,-12.021,0.02297,3.6929,1.7951,-7.421,-5.9712,Kaggle Complete EEG Dataset s01
-3.0078,1.9971,3.0137,4.5705,-13.369,-0.62571,2.6215,-0.4469,-8.8811,-7.6659,Kaggle Complete EEG Dataset s01
-3.3383,2.3462,1.9179,4.3889,-14.134,-1.2047,1.639,-2.2213,-9.9943,-9.4177,Kaggle Complete EEG Dataset s01
-2.7411,3.2959,1.2269,4.5661,-14.279,-1.632,1.1355,-3.2523,-10.574,-10.754,Kaggle Complete EEG Dataset s01
-1.4734,4.3946,0.90338,4.8039,-13.918,-1.8766,1.3724,-3.4442,-10.612,-11.288,Kaggle Complete EEG Dataset s01
0.03842,5.0866,0.79159,4.7714,-13.273,-1.9865,2.3648,-2.8927,-10.264,-10.896,Kaggle Complete EEG Dataset s01
1.3455,4.9392,0.72554,4.2528,-12.566,-2.0562,3.9101,-1.8976,-9.7551,-9.7395,Kaggle Complete EEG Dataset s01
2.1268,3.8204,0.60867,3.2436,-11.946,-2.194,5.6332,-0.80657,-9.292,-8.1914,Kaggle Complete EEG Dataset s01
2.2752,1.9785,0.4681,1.9405,-11.457,-2.4525,7.1538,0.08062,-8.9855,-6.7086,Kaggle Complete EEG Dataset s01
1.877,-0.077581,0.40882,0.65251,-11.069,-2.8024,8.1511,0.60814,-8.8558,-5.682,Kaggle Complete EEG Dataset s01
1.1577,-1.7721,0.54092,-0.3286,-10.715,-3.1786,8.4572,0.764,-8.8777,-5.3968,Kaggle Complete EEG Dataset s01
0.36895,-2.6799,0.92878,-0.81483,-10.345,-3.4697,8.0573,0.66808,-9.0192,-5.9875,Kaggle Complete EEG Dataset s01
-0.29024,-2.6473,1.5504,-0.76945,-9.9254,-3.5904,7.0748,0.47626,-9.2449,-7.393,Kaggle Complete EEG Dataset s01
-0.71843,-1.8124,2.3142,-0.29186,-9.4388,-3.5084,5.6974,0.3204,-9.5261,-9.3729,Kaggle Complete EEG Dataset s01
-0.91938,-0.51673,3.0764,0.43425,-8.8801,-3.2328,4.1422,0.24847,-9.8225,-11.548,Kaggle Complete EEG Dataset s01
-0.94567,0.83329,3.6827,1.1841,-8.2371,-2.8102,2.5919,0.24847,-10.089,-13.467,Kaggle Complete EEG Dataset s01
-0.88182,1.9009,3.991,1.7525,-7.5236,-2.29,1.175,0.26046,-10.296,-14.742,Kaggle Complete EEG Dataset s01
